event_id,team_id,team,ha,opponent,opp_id,team_score,opp_score,team_pen,team_pen_yds,opp_pen,opp_pen_yds,margin,one_score,line_details,spread,over_under,our_ml,opp_ml
401403957,333,Alabama,home,AUB,2,49,27,11,102,10,49,22,False,ALA -22,-22.0,51.0,-2201,1096
401442018,333,Alabama,away,KSU,2306,45,20,5,45,6,40,25,False,ALA -7.5,7.5,58.0,-312,247
401520149,333,Alabama,home,MTSU,2393,56,7,2,19,9,84,49,False,ALA -39,-39.0,54.5,,
401520183,333,Alabama,home,TEX,251,24,34,10,90,4,40,-10,False,,,,-230,180
401520244,333,Alabama,away,USF,58,17,3,5,35,5,40,14,False,,,,,
401520250,333,Alabama,home,MISS,145,24,10,6,60,8,69,14,False,,,,,
401520285,333,Alabama,away,MSST,344,40,17,6,40,3,15,23,False,,,,,
401520310,333,Alabama,away,TA&M,245,26,20,14,99,4,20,6,True,,,,,
401520316,333,Alabama,home,ARK,8,24,21,5,45,2,13,3,True,,,,,
401520333,333,Alabama,home,TENN,2633,34,20,1,5,8,55,14,False,,,,,
401520362,333,Alabama,home,LSU,99,42,28,6,50,8,60,14,False,,,,,
401520386,333,Alabama,away,UK,96,49,21,6,64,4,19,28,False,,,,,
401520401,333,Alabama,home,UTC,236,66,10,3,25,5,25,56,False,,,,,
401520427,333,Alabama,away,AUB,2,27,24,8,72,5,28,3,True,,,,,
401539483,333,Alabama,home,UGA,61,27,24,3,36,5,56,3,True,,,,,
401539483,61,Georgia,away,ALA,333,24,27,5,56,3,36,-3,True,,,,,
401628319,333,Alabama,home,WKU,98,63,0,7,59,4,40,63,False,,,,,
401628335,333,Alabama,home,USF,58,42,16,13,120,11,92,26,False,,,,,
401628350,333,Alabama,away,WIS,275,42,10,4,40,4,23,32,False,,,,,
401628374,333,Alabama,home,UGA,61,41,34,10,90,6,50,7,True,,,,,
401628374,61,Georgia,away,ALA,333,34,41,6,50,10,90,-7,True,,,,,
401628384,333,Alabama,away,VAN,238,35,40,6,57,3,20,-5,True,,,,,
401628385,333,Alabama,home,SC,2579,27,25,7,67,6,49,2,True,,,,,
401628397,333,Alabama,away,TENN,2633,17,24,15,115,11,95,-7,True,,,,,
401628400,333,Alabama,home,MIZ,142,34,0,7,85,5,55,34,False,,,,,
401628413,333,Alabama,away,LSU,99,42,13,7,74,7,65,29,False,,,,,
401628425,333,Alabama,home,MER,2382,52,7,6,60,5,32,45,False,,,,,
401628433,333,Alabama,away,OU,201,3,24,4,30,4,20,-21,False,,,,,
401628437,333,Alabama,home,AUB,2,28,14,6,66,6,46,14,False,,,,,
401752665,333,Alabama,away,FSU,52,17,31,8,70,4,40,-14,False,,,,,
401752681,333,Alabama,home,ULM,2433,73,0,5,55,4,41,73,False,,,,,
401752696,333,Alabama,home,WIS,275,38,14,7,57,6,65,24,False,,,,,
401752718,61,Georgia,home,ALA,333,21,24,6,68,4,16,-3,True,,,,,
401752718,333,Alabama,away,UGA,61,24,21,4,16,6,68,3,True,,,,,
401752726,333,Alabama,home,VAN,238,30,14,3,30,5,52,16,False,,,,,
401752734,333,Alabama,away,MIZ,142,27,24,5,30,4,45,3,True,,,,,
401752738,333,Alabama,home,TENN,2633,37,20,7,59,10,66,17,False,,,,,
401752751,333,Alabama,away,SC,2579,29,22,6,52,5,40,7,True,,,,,
401752759,333,Alabama,home,LSU,99,20,9,2,30,10,74,11,False,,,,,
401752765,333,Alabama,home,OU,201,21,23,2,25,5,37,-2,True,,,,,
401752773,333,Alabama,home,EIU,2197,56,0,4,29,3,35,56,False,,,,,
401752784,333,Alabama,away,AUB,2,27,20,8,87,10,84,7,True,ALA -7,7.0,48.5,,
401777351,333,Alabama,home,UGA,61,7,28,1,5,7,80,-21,False,UGA -1.5,1.5,48.5,110,-130
401777351,61,Georgia,away,ALA,333,28,7,7,80,1,5,21,False,UGA -1.5,1.5,48.5,-130,110
401779840,333,Alabama,away,OU,201,34,24,4,46,5,50,10,False,OU -2.5,-2.5,42.5,120,-142
401769072,333,Alabama,away,IU,84,3,38,1,5,1,10,-35,False,IU -7.5,-7.5,46.5,225,-278
400868972,61,Georgia,away,UNC,153,33,24,9,70,13,101,9,False,UGA -3.5,3.5,,,
400868984,61,Georgia,home,NICH,2447,26,24,3,34,4,18,2,True,UGA -49.5,-49.5,,,
400868998,61,Georgia,away,MIZ,142,28,27,3,30,7,50,1,True,UGA -6,6.0,,,
400869005,61,Georgia,away,MISS,145,14,45,8,52,4,25,-31,False,MISS -6,-6.0,,,
400869013,61,Georgia,home,TENN,2633,31,34,8,44,2,25,-3,True,TENN -2.5,2.5,,,
400869022,61,Georgia,away,SC,2579,28,14,8,56,5,44,14,False,UGA -8.5,8.5,,,
400869026,61,Georgia,home,VAN,238,16,17,8,53,5,45,-1,True,UGA -14.5,-14.5,,,
400869035,61,Georgia,home,FLA,57,10,24,5,49,6,45,-14,False,FLA -7.5,7.5,,,
400869043,61,Georgia,away,UK,96,27,24,6,54,5,40,3,True,UGA -2.5,2.5,,,
400869052,61,Georgia,home,AUB,2,13,7,5,30,3,36,6,True,AUB -8,8.0,,,
400869059,61,Georgia,home,ULL,309,35,21,2,15,5,35,14,False,UGA -21,-21.0,,,
400869070,61,Georgia,home,GT,59,27,28,2,15,4,45,-1,True,UGA -4.5,-4.5,,,
400876103,61,Georgia,away,TCU,2628,31,23,7,45,2,10,8,True,TCU -1.5,-1.5,,,
